event_id,mrp,mpp,place,mag,mag_type,mrr,mtp,longitude,time,depth,source,latitude,mrt,mtt,Repi,fault_style
usp000eamh,,,"160 km SE of Chipinge, Zimbabwe",7,mwb,,,33.583,2006-02-22 22:19:07.800000+00:00,11,USGS,-21.324,,,2157.9,U
16958124,,,,7.6,MW,,,31.2703,,15,ISC,-6.3513,,,1902.7,U
912775,,,,6.7,MS,,,33.1159,,15,ISC,-11.4207,,,1949.8,U
912837,,,,7.1,MS,,,31.5662,,15,ISC,-8.1741,,,1860.8,U
912998,,,,6.5,MS,,,30,10/31/19 15:36,35,ISC,-25,,,2047.8,U
900496,,,,6.8,MS,,,35,10/9/42 15:46,60,ISC,-11,,,2159.6,U
888136,,,,6.5,M,,,35.25,4/4/56 21:21,,ISC,-5,,,2366.4,U
880379,,,,6.5,MS,,,29.0314,,13.7,ISC,-3.5358,,,1841.4,U
873127,,,,6.5,M,,,28.5,9/24/63 9:13,,ISC,-16.5,,,1479.4,U
867524,,,,6.5,MW,,,35.1812,,31,ISC,-4.0621,,,2402.5,U
849400,,,,6.6,MW,,,29.8142,,27.4,ISC,0.7621,,,2214.7,U
1839900,,,,6.5,MW,,,30.74,,30.7,ISC,-7.9667,,,1782.0,U
7781195,,,,6.7,MW,,,29.712,,14.7,ISC,-6.3021,,,1748.8,U
8096170,,,,7,MW,,,33.3927,,12.4,ISC,-21.2888,,,2138.2,U
610478084,,,,6.5,MW,,,25.2166,,20.5,ISC,-22.6666,,,1510.5,U
